d022287e-d10f-49da-be21-b46123bfa802,Jared,Ely,jared.ely@sakilacustomer.org,503 34 AVE,44
9e56d88e-e298-46b1-9d8e-a79b9955cbd1,Mary,Smith,mary.smith@sakilacustomer.org,503 34 AVE,52
2bf2b699-59b0-4842-ad0b-9febc38b6b0b,Patricia,Johnson,patricia.johnson@sakilacustomer.org,503 34 AVE,28
38eff183-4c36-4a26-bd42-2e7c3c7467ee,Linda,Williams,linda.williams@sakilacustomer.org,503 34 AVE,16
e8a5fbde-fc2e-4a47-9962-c27ace8fbefb,Barbara,Jones,barbara.jones@sakilacustomer.org,503 34 AVE,58
cbdd64e4-d9a8-49eb-813d-7b6b268b9886,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,503 34 AVE,22
e4f1874b-fe64-4f66-b6a9-bd81d67d92ad,Jennifer,Davis,jennifer.davis@sakilacustomer.org,503 34 AVE,41
028f4b21-d15c-4dfb-a294-04ed084daa35,Maria,Miller,maria.miller@sakilacustomer.org,503 34 AVE,27
9e718b4b-2952-48f4-9df7-d0ea749056ec,Susan,Wilson,susan.wilson@sakilacustomer.org,503 34 AVE,32
6d1fe69c-bc6f-49e2-97a7-88ab88f896da,Margaret,Moore,margaret.moore@sakilacustomer.org,503 34 AVE,60
fe172b2e-23aa-4641-aeb6-9c22e9113e0a,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,503 34 AVE,29
69d9a21e-fbd1-47a0-ab67-fb61250de051,Lisa,Anderson,lisa.anderson@sakilacustomer.org,503 34 AVE,60
71b2b689-eca4-45b1-9894-d77988511da8,Nancy,Thomas,nancy.thomas@sakilacustomer.org,503 34 AVE,30
577a83a7-58da-447c-8500-e4d59a94b612,Karen,Jackson,karen.jackson@sakilacustomer.org,503 34 AVE,45
c5380690-efc9-4495-81e6-6510d4c7c7cc,Betty,White,betty.white@sakilacustomer.org,503 34 AVE,16
c0672456-cac1-4389-8e55-b2b7b17ce017,Helen,Harris,helen.harris@sakilacustomer.org,503 34 AVE,15
387627e6-3d1d-4b99-b46c-0d3a86643629,Sandra,Martin,sandra.martin@sakilacustomer.org,503 34 AVE,18
e75bc245-e542-40a5-a31d-0e8c65da751e,Donna,Thompson,donna.thompson@sakilacustomer.org,503 34 AVE,22
5c73e999-ae3d-45f3-8fc3-6e910e123cac,Carol,Garcia,carol.garcia@sakilacustomer.org,503 34 AVE,18
